"Type";"Message";"Object";"Transformation";"Produktion";"Time"
"INFO";"Starte Produktion.";"";"IO";"Lean docu";"11.08.2022 14:43:21"
"INFO";"Exportiere Daten.";"";"IO";"Lean docu";"11.08.2022 14:43:21"
"DEBUG";"Dauer des Datenexports: 00:00:34";"";"IO";"Lean docu";"11.08.2022 14:43:55"
"DEBUG";"Dauer des Datenexports: 00:01:38";"";"IO";"Lean docu";"11.08.2022 14:45:34"
"DEBUG";"Dauer des Datenexports: 00:00:21";"";"IO";"Lean docu";"11.08.2022 14:45:55"
"DEBUG";"Dauer des Datenexports: 00:00:19";"";"IO";"Lean docu";"11.08.2022 14:46:14"
"INFO";"Starte publikationsspezifische Verarbeitung.";"";"IO";"Lean docu";"11.08.2022 14:46:23"
"INFO";"Get variant context in Sprache es-ES.";"";"IO";"Lean docu";"11.08.2022 14:46:26"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:01";"";"IO";"Lean docu";"11.08.2022 14:46:27"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"11.08.2022 14:46:27"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"11.08.2022 14:46:27"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"11.08.2022 14:46:28"
"INFO";"Get variant context in Sprache zh-CHS.";"";"IO";"Lean docu";"11.08.2022 14:46:29"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:01";"";"IO";"Lean docu";"11.08.2022 14:46:31"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"11.08.2022 14:46:31"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"11.08.2022 14:46:31"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"11.08.2022 14:46:32"
"INFO";"Get variant context in Sprache en-US.";"";"IO";"Lean docu";"11.08.2022 14:46:33"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:01";"";"IO";"Lean docu";"11.08.2022 14:46:35"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"11.08.2022 14:46:35"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"11.08.2022 14:46:35"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"11.08.2022 14:46:35"
"INFO";"Get variant context in Sprache de-DE.";"";"IO";"Lean docu";"11.08.2022 14:46:37"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:02";"";"IO";"Lean docu";"11.08.2022 14:46:39"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"11.08.2022 14:46:39"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"11.08.2022 14:46:39"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"11.08.2022 14:46:39"
"INFO";"Publikationsspezifische Verarbeitung erfolgreich durchgeführt.";"";"IO";"Lean docu";"11.08.2022 14:46:39"
"INFO";"Lösche temporäre Dateien.";"";"IO";"Lean docu";"11.08.2022 14:46:39"
"INFO";"Lösche temporäre Dateien.";"";"IO";"Lean docu";"11.08.2022 14:46:39"
"INFO";"Produktion erfolgreich durchgeführt.";"";"IO";"Lean docu";"11.08.2022 14:46:40"
"DEBUG";"Gesamtdauer der Publikation: 00:03:24";"";"IO";"Lean docu";"11.08.2022 14:46:40"
