"Type";"Message";"Object";"Transformation";"Produktion";"Time"
"INFO";"Starte Produktion.";"";"IO";"Lean docu";"22.08.2023 13:59:41"
"INFO";"Exportiere Daten.";"";"IO";"Lean docu";"22.08.2023 13:59:41"
"DEBUG";"Dauer des Datenexports: 00:00:25";"";"IO";"Lean docu";"22.08.2023 14:00:06"
"DEBUG";"Dauer des Datenexports: 00:00:24";"";"IO";"Lean docu";"22.08.2023 14:00:31"
"DEBUG";"Dauer des Datenexports: 00:00:25";"";"IO";"Lean docu";"22.08.2023 14:00:57"
"DEBUG";"Dauer des Datenexports: 00:00:33";"";"IO";"Lean docu";"22.08.2023 14:01:31"
"DEBUG";"Dauer des Datenexports: 00:00:23";"";"IO";"Lean docu";"22.08.2023 14:01:54"
"DEBUG";"Dauer des Datenexports: 00:00:21";"";"IO";"Lean docu";"22.08.2023 14:02:16"
"INFO";"Starte publikationsspezifische Verarbeitung.";"";"IO";"Lean docu";"22.08.2023 14:02:25"
"INFO";"Get variant context in Sprache it-IT.";"";"IO";"Lean docu";"22.08.2023 14:02:27"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:01";"";"IO";"Lean docu";"22.08.2023 14:02:29"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"22.08.2023 14:02:29"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"22.08.2023 14:02:29"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"22.08.2023 14:02:29"
"INFO";"Get variant context in Sprache fr-FR.";"";"IO";"Lean docu";"22.08.2023 14:02:30"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:02";"";"IO";"Lean docu";"22.08.2023 14:02:33"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"22.08.2023 14:02:33"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"22.08.2023 14:02:33"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"22.08.2023 14:02:33"
"INFO";"Get variant context in Sprache es-ES.";"";"IO";"Lean docu";"22.08.2023 14:02:34"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:01";"";"IO";"Lean docu";"22.08.2023 14:02:36"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"22.08.2023 14:02:36"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"22.08.2023 14:02:36"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"22.08.2023 14:02:36"
"INFO";"Get variant context in Sprache zh-CHS.";"";"IO";"Lean docu";"22.08.2023 14:02:37"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:01";"";"IO";"Lean docu";"22.08.2023 14:02:39"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"22.08.2023 14:02:39"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"22.08.2023 14:02:39"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"22.08.2023 14:02:40"
"INFO";"Get variant context in Sprache de-DE.";"";"IO";"Lean docu";"22.08.2023 14:02:41"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:02";"";"IO";"Lean docu";"22.08.2023 14:02:43"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"22.08.2023 14:02:43"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"22.08.2023 14:02:43"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"22.08.2023 14:02:43"
"INFO";"Get variant context in Sprache en-US.";"";"IO";"Lean docu";"22.08.2023 14:02:44"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:01";"";"IO";"Lean docu";"22.08.2023 14:02:46"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"22.08.2023 14:02:46"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"22.08.2023 14:02:46"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"22.08.2023 14:02:47"
"INFO";"Publikationsspezifische Verarbeitung erfolgreich durchgeführt.";"";"IO";"Lean docu";"22.08.2023 14:02:47"
"INFO";"Lösche temporäre Dateien.";"";"IO";"Lean docu";"22.08.2023 14:02:47"
"INFO";"Lösche temporäre Dateien.";"";"IO";"Lean docu";"22.08.2023 14:02:47"
"INFO";"Produktion erfolgreich durchgeführt.";"";"IO";"Lean docu";"22.08.2023 14:02:47"
"DEBUG";"Gesamtdauer der Publikation: 00:03:05";"";"IO";"Lean docu";"22.08.2023 14:02:47"
