"Type";"Message";"Object";"Transformation";"Produktion";"Time"
"INFO";"Starte Produktion.";"";"IO";"Lean docu";"24.11.2023 15:24:38"
"INFO";"Exportiere Daten.";"";"IO";"Lean docu";"24.11.2023 15:24:38"
"DEBUG";"Dauer des Datenexports: 00:00:39";"";"IO";"Lean docu";"24.11.2023 15:25:17"
"INFO";"Starte publikationsspezifische Verarbeitung.";"";"IO";"Lean docu";"24.11.2023 15:25:26"
"INFO";"Get variant context in Sprache de-DE.";"";"IO";"Lean docu";"24.11.2023 15:25:28"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:02";"";"IO";"Lean docu";"24.11.2023 15:25:30"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"24.11.2023 15:25:30"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"24.11.2023 15:25:30"
"WARNING";"Fehlender Datenwert: documentPublishProductGroup";"";"IO";"Lean docu";"24.11.2023 15:25:30"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"24.11.2023 15:25:31"
"INFO";"Publikationsspezifische Verarbeitung erfolgreich durchgeführt.";"";"IO";"Lean docu";"24.11.2023 15:25:31"
"INFO";"Lösche temporäre Dateien.";"";"IO";"Lean docu";"24.11.2023 15:25:31"
"INFO";"Lösche temporäre Dateien.";"";"IO";"Lean docu";"24.11.2023 15:25:31"
"INFO";"Produktion erfolgreich durchgeführt.";"";"IO";"Lean docu";"24.11.2023 15:25:31"
"DEBUG";"Gesamtdauer der Publikation: 00:00:53";"";"IO";"Lean docu";"24.11.2023 15:25:31"
