"Type";"Message";"Object";"Transformation";"Produktion";"Time"
"INFO";"Starte Produktion.";"";"IO";"Lean docu";"22.08.2023 11:31:22"
"INFO";"Exportiere Daten.";"";"IO";"Lean docu";"22.08.2023 11:31:22"
"DEBUG";"Dauer des Datenexports: 00:01:19";"";"IO";"Lean docu";"22.08.2023 11:32:41"
"DEBUG";"Dauer des Datenexports: 00:00:41";"";"IO";"Lean docu";"22.08.2023 11:33:23"
"DEBUG";"Dauer des Datenexports: 00:00:26";"";"IO";"Lean docu";"22.08.2023 11:33:49"
"DEBUG";"Dauer des Datenexports: 00:00:56";"";"IO";"Lean docu";"22.08.2023 11:34:45"
"DEBUG";"Dauer des Datenexports: 00:00:47";"";"IO";"Lean docu";"22.08.2023 11:35:33"
"DEBUG";"Dauer des Datenexports: 00:00:40";"";"IO";"Lean docu";"22.08.2023 11:36:13"
"INFO";"Starte publikationsspezifische Verarbeitung.";"";"IO";"Lean docu";"22.08.2023 11:36:25"
"INFO";"Get variant context in Sprache it-IT.";"";"IO";"Lean docu";"22.08.2023 11:36:28"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:02";"";"IO";"Lean docu";"22.08.2023 11:36:31"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"22.08.2023 11:36:31"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"22.08.2023 11:36:31"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:01";"";"IO";"Lean docu";"22.08.2023 11:36:32"
"INFO";"Get variant context in Sprache fr-FR.";"";"IO";"Lean docu";"22.08.2023 11:36:33"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:03";"";"IO";"Lean docu";"22.08.2023 11:36:37"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"22.08.2023 11:36:37"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"22.08.2023 11:36:37"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"22.08.2023 11:36:38"
"INFO";"Get variant context in Sprache es-ES.";"";"IO";"Lean docu";"22.08.2023 11:36:39"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:03";"";"IO";"Lean docu";"22.08.2023 11:36:42"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"22.08.2023 11:36:42"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"22.08.2023 11:36:42"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:01";"";"IO";"Lean docu";"22.08.2023 11:36:43"
"INFO";"Get variant context in Sprache zh-CHS.";"";"IO";"Lean docu";"22.08.2023 11:36:44"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:03";"";"IO";"Lean docu";"22.08.2023 11:36:48"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"22.08.2023 11:36:48"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"22.08.2023 11:36:48"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:01";"";"IO";"Lean docu";"22.08.2023 11:36:49"
"INFO";"Get variant context in Sprache de-DE.";"";"IO";"Lean docu";"22.08.2023 11:36:50"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:03";"";"IO";"Lean docu";"22.08.2023 11:36:54"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"22.08.2023 11:36:54"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"22.08.2023 11:36:54"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:01";"";"IO";"Lean docu";"22.08.2023 11:36:55"
"INFO";"Get variant context in Sprache en-US.";"";"IO";"Lean docu";"22.08.2023 11:36:56"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:03";"";"IO";"Lean docu";"22.08.2023 11:36:59"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"22.08.2023 11:36:59"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"22.08.2023 11:36:59"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"22.08.2023 11:37:00"
"INFO";"Publikationsspezifische Verarbeitung erfolgreich durchgeführt.";"";"IO";"Lean docu";"22.08.2023 11:37:00"
"INFO";"Lösche temporäre Dateien.";"";"IO";"Lean docu";"22.08.2023 11:37:00"
"INFO";"Lösche temporäre Dateien.";"";"IO";"Lean docu";"22.08.2023 11:37:00"
"INFO";"Produktion erfolgreich durchgeführt.";"";"IO";"Lean docu";"22.08.2023 11:37:00"
"DEBUG";"Gesamtdauer der Publikation: 00:05:43";"";"IO";"Lean docu";"22.08.2023 11:37:00"
