"Type";"Message";"Object";"Transformation";"Produktion";"Time"
"INFO";"Starte Produktion.";"";"IO";"Lean docu";"24.11.2023 14:49:16"
"INFO";"Exportiere Daten.";"";"IO";"Lean docu";"24.11.2023 14:49:16"
"DEBUG";"Dauer des Datenexports: 00:00:54";"";"IO";"Lean docu";"24.11.2023 14:50:10"
"DEBUG";"Dauer des Datenexports: 00:01:11";"";"IO";"Lean docu";"24.11.2023 14:51:21"
"DEBUG";"Dauer des Datenexports: 00:01:06";"";"IO";"Lean docu";"24.11.2023 14:52:28"
"DEBUG";"Dauer des Datenexports: 00:01:06";"";"IO";"Lean docu";"24.11.2023 14:53:34"
"DEBUG";"Dauer des Datenexports: 00:01:07";"";"IO";"Lean docu";"24.11.2023 14:54:41"
"INFO";"Starte publikationsspezifische Verarbeitung.";"";"IO";"Lean docu";"24.11.2023 14:54:50"
"INFO";"Get variant context in Sprache es-ES.";"";"IO";"Lean docu";"24.11.2023 14:54:52"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:03";"";"IO";"Lean docu";"24.11.2023 14:54:55"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"24.11.2023 14:54:55"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"24.11.2023 14:54:55"
"WARNING";"Fehlender Datenwert: documentPublishProductGroup";"";"IO";"Lean docu";"24.11.2023 14:54:55"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:01";"";"IO";"Lean docu";"24.11.2023 14:54:57"
"INFO";"Get variant context in Sprache it-IT.";"";"IO";"Lean docu";"24.11.2023 14:54:57"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:02";"";"IO";"Lean docu";"24.11.2023 14:55:00"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"24.11.2023 14:55:00"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"24.11.2023 14:55:00"
"WARNING";"Fehlender Datenwert: documentPublishProductGroup";"";"IO";"Lean docu";"24.11.2023 14:55:00"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"24.11.2023 14:55:01"
"INFO";"Get variant context in Sprache fr-FR.";"";"IO";"Lean docu";"24.11.2023 14:55:02"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:02";"";"IO";"Lean docu";"24.11.2023 14:55:05"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"24.11.2023 14:55:05"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"24.11.2023 14:55:05"
"WARNING";"Fehlender Datenwert: documentPublishProductGroup";"";"IO";"Lean docu";"24.11.2023 14:55:05"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"24.11.2023 14:55:06"
"INFO";"Get variant context in Sprache en-US.";"";"IO";"Lean docu";"24.11.2023 14:55:07"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:02";"";"IO";"Lean docu";"24.11.2023 14:55:10"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"24.11.2023 14:55:10"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"24.11.2023 14:55:10"
"WARNING";"Fehlender Datenwert: documentPublishProductGroup";"";"IO";"Lean docu";"24.11.2023 14:55:10"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"24.11.2023 14:55:11"
"INFO";"Get variant context in Sprache de-DE.";"";"IO";"Lean docu";"24.11.2023 14:55:12"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:03";"";"IO";"Lean docu";"24.11.2023 14:55:15"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"24.11.2023 14:55:15"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"24.11.2023 14:55:15"
"WARNING";"Fehlender Datenwert: documentPublishProductGroup";"";"IO";"Lean docu";"24.11.2023 14:55:15"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:00";"";"IO";"Lean docu";"24.11.2023 14:55:16"
"INFO";"Publikationsspezifische Verarbeitung erfolgreich durchgeführt.";"";"IO";"Lean docu";"24.11.2023 14:55:16"
"INFO";"Lösche temporäre Dateien.";"";"IO";"Lean docu";"24.11.2023 14:55:16"
"INFO";"Lösche temporäre Dateien.";"";"IO";"Lean docu";"24.11.2023 14:55:16"
"INFO";"Produktion erfolgreich durchgeführt.";"";"IO";"Lean docu";"24.11.2023 14:55:16"
"DEBUG";"Gesamtdauer der Publikation: 00:06:06";"";"IO";"Lean docu";"24.11.2023 14:55:16"
